# m	b	logf
-9.253399339995963535e-01	4.250749371882166727e+00	-5.639166213033088848e-01
-8.734243052031545052e-01	4.093297610152427879e+00	-4.549501670558904753e-01
-9.240656683352017620e-01	4.356232232943766824e+00	-3.618465729295974875e-01
-9.166281951366791469e-01	4.266563709388671910e+00	-6.015376450386644702e-01
-8.529608144016954663e-01	3.877265248310632462e+00	-6.830227116102904894e-01
-1.079497737701367699e+00	4.962002175946508942e+00	-6.531241048619682577e-01
-8.114491396843949156e-01	3.509763795368373795e+00	-4.476656540574960874e-01
-8.356146506713657551e-01	3.781347891487532031e+00	-3.355726895454901881e-01
-7.624977585684682424e-01	3.400519221307659379e+00	-1.702816048840460339e-01
-9.561296867399535770e-01	4.464027693644692540e+00	-4.364511726298988536e-01
-8.154064209960758536e-01	3.713439002853870630e+00	-3.462956251224797444e-01
-9.295992922768914202e-01	4.183363460306270376e+00	-4.506689662385428563e-01
-8.493185230306957711e-01	3.816489785661894896e+00	-5.022793306845653172e-01
-9.476193099069619707e-01	4.325474056855947325e+00	-6.303920202999280242e-01
-8.861295624537544047e-01	3.896307939009916677e+00	-3.044175687474052205e-01
-8.910191419855779671e-01	4.062064516971287453e+00	-4.382343153442784800e-01
-9.836688720601106661e-01	4.154892186760529960e+00	-6.026814993023337230e-01
-9.561878078053370755e-01	4.389255199303395472e+00	-5.002372327579768241e-01
-1.009690720387751872e+00	4.528541710755420446e+00	-4.886900376639418120e-01
-7.960265698784450006e-01	3.476380206276636464e+00	-2.023321009228924439e-01
-9.676224257776748772e-01	4.447192901222267736e+00	-6.557541547743990229e-01
-8.736356453540988776e-01	3.901254382689616662e+00	-4.916161749357650379e-01
-9.088076643277929190e-01	4.098756180363141155e+00	-4.917694642963753027e-01
-9.377150583992179822e-01	4.221718946284134688e+00	-5.469277181714009561e-01
-8.983006479590200932e-01	4.124727409351503837e+00	-5.726567572874001755e-01
-8.498430861476621301e-01	3.919547325547712457e+00	-4.232965558105120096e-01
-8.871071857626989798e-01	3.989096944633875097e+00	-4.709840807837237797e-01
-9.990200929655842499e-01	4.594059350360084615e+00	-4.591746058131758734e-01
-8.657673755525253645e-01	3.992729536900329279e+00	-4.424304338130654601e-01
-9.391898223545219748e-01	4.223001964947306064e+00	-7.316797691381073943e-01
-9.985474401508345199e-01	4.429213384611715654e+00	-7.157588869869792036e-01
-8.702504702702295036e-01	4.072349489107130793e+00	-4.283819137260622134e-01
-1.030471087359467575e+00	4.627447410737874023e+00	-9.622832065923444533e-01
-7.177676746882304393e-01	3.320461010986062611e+00	-3.496467921196974027e-01
